plugin_id,scanner,title,description,plugin_type,is_eol
QUALYS105358,QUALYS,EOL/Obsolete Operating System: Microsoft Windows XP Service Pack 2 (SP2) Detected,"the host is running windows xp (32 bit) with service pack 2 installed (sp2). microsoft ended support for windows xp sp2 for 32 bit on july 13, 2010 and provides no further support for that specific service pack level.note:there is no service pack 3 for the 64-bit version of windows xp. for the the 64-bit version of windows xp, service pack 2 is the latest service pack and users will continue to be eligible for support and receive updates until april 8, 2014.",,TRUE
QUALYS105359,QUALYS,EOL/Obsolete Operating System: Microsoft Windows 2000 Detected,"the host is running windows 2000. microsoft ended support for windows server 2000 on july 13, 2010 and provides no further support for this operating system.",,TRUE
QUALYS105360,QUALYS,EOL/Obsolete Operating System: Microsoft Windows NT Detected,"the host is running windows nt. microsoft ended support for windows workstation nt 4 on june 30, 2002 and provides no further support for this operating system.",,TRUE
QUALYS105361,QUALYS,EOL/Obsolete Operating System: Microsoft Windows 9x Detected,"the host is running windows 9x. microsoft ended support for windows 98 second edition on june 30, 2002 and provides no further support for this operating system.",,TRUE
QUALYS105362,QUALYS,EOL/Obsolete Software: Oracle Database 11.1.0.6 Detected,"the host has oracle database 11.1.0.6 installed. oracle ended critical patch update for oracle database 11.1.0.6 on july 14, 2009.",,TRUE
QUALYS105364,QUALYS,EOL/Obsolete Software: Oracle Database 10.2.0.2 Detected,the host has oracle database 10.2.0.2 installed. premier support for 10.2.0.2 database ended in february 2008.the latest critical patch update for 10.2.0.2 on solaris x86 is cpuoct2008.,,TRUE
QUALYS105365,QUALYS,EOL/Obsolete Software: VMware Server 1.x Detected,"the host has vmware server 1.x installed. vmware server 1.x support ended on march 23, 2010.",,TRUE
QUALYS105366,QUALYS,EOL/Obsolete Operating System: Fedora Core 11 Detected,"the host is running fedora core 11. support for fedora core 11 ended on june 25, 2010. no further updates, including security updates, are available for fedora 11.",,TRUE
QUALYS105367,QUALYS,EOL/Obsolete Operating System: Red Hat Enterprise Linux 3 Detected,"the host is running red hat enterprise linux 3. support for red hat enterprise linux 3 is going to end on october 31, 2010. no further bug fix, enhancement, and security errata updates, as well as technical support services will be available for the following products:1) red hat enterprise linux as 32) red hat enterprise linux es 33) red hat enterprise linux ws 34) red hat desktop 3",,TRUE
QUALYS105368,QUALYS,EOL/Obsolete Software: Microsoft SQL Server 2008 Service Pack 0 (SP0) RTM Detected,microsoft sql server 2008 rtm (sp0) release was detected on the host.technical support for rtm release ended on 13th of april 2010.,,TRUE
QUALYS105369,QUALYS,EOL/Obsolete Operating System: Solaris 7 or Solaris 2.x Detected,"the host is running an obsolete version of the solaris operating system. support for solaris 7 ended on 08/15/08. no further bug fix, enhancement,  security updates or technical support is available for the following operating systems:1) solaris 2.0, solaris 2.1, solaris 2.2, solaris 2.3, solaris 2.4, solaris 2.5, solaris 2.5.1, solaris 2.62) solaris 7refer tosolaris eolto obtain additional information.",,TRUE
QUALYS105370,QUALYS,EOL/Obsolete Operating System: HP-UX 10.20 Detected,"the host is running hp-ux version 10.20. support for hp-ux 10.20 ended in june 2003. no further bug fixes, enhancements, security errata updates or technical support services are available for hp-ux 10.20.",,TRUE
QUALYS105371,QUALYS,EOL/Obsolete Software: Microsoft SQL Server 2005 Service Pack 0 (SP0) RTM Detected,"microsoft sql server 2005 rtm (sp0) release was detected on the host.technical support for this rtm release has ended. no further bug fixes, enhancements, security updates or technical support is available for this release.",,TRUE
QUALYS105372,QUALYS,EOL/Obsolete Software: Microsoft SQL Server 2005 Service Pack 1 (SP1) Detected,"microsoft sql server 2005 service pack 1 was detected on the host.technical support for sql server 2005 sp1 ended on 4/8/2008. no further bug fixes, enhancements, security updates or technical support is available for this release.",,TRUE
QUALYS105373,QUALYS,EOL/Obsolete Software: Microsoft SQL Server 2005 Service Pack 2 (SP2) Detected,"microsoft sql server 2005 service pack 2 was detected on the host.technical support for sql server 2005 sp2 ended on 1/12/2010. no further bug fixes, enhancements, security updates or technical support is available for this release.",,TRUE
QUALYS105374,QUALYS,EOL/Obsolete Software: Microsoft SQL Server 2000 Service Pack 0 (SP0) through Service Pack 4 (SP4) Detected,"microsoft sql server 2000 rtm, sp1, sp2, sp3/3a or sp4 was detected on the host.according tomicrosoft product lifecycle, the technical support for sql server 2000 service pack 0 (rtm) through service pack 4 has ended. no further bug fixes, enhancements, security updates or technical support will be made available by microsoft for this release.",,TRUE
QUALYS105375,QUALYS,EOL/Obsolete Software: Microsoft Office FrontPage 2000 Detected,"microsoft office frontpage 2000 was detected on the host.technical support for microsoft office frontpage 2000 has ended. no further bug fixes, enhancements, security updates or technical support is available for this release.qid detection logic (authenticated):operating system: windowsthe qid checks the version if the file ""frontpg.exe"" exists from the path recovered in the registry key ""hklm\software\microsoft\office.0\common\installroot"" value ""path"".qid detection logic (unauthenticated):the qid sends a get /_vti_inf.html request to retrieve the version of frontpage server extension running on the host.",,TRUE
QUALYS105376,QUALYS,EOL/Obsolete Software: Microsoft Office FrontPage 2002 Detected,"microsoft office frontpage 2002 was detected on the host.the mainstream support for microsoft office frontpage 2002 ended on 7.12.2006. no further bug fixes, enhancements, security updates or technical support is available for this release.note: extended support for frontpage 2002 will end on 7.12.2011qid detection logic (authenticated):operating system: windowsthe qid checks the version if the file ""frontpg.exe"" exists from the path recovered in the registry key ""hklm\software\microsoft\office.0\common\installroot"" value ""path"".qid detection logic (unauthenticated):the qid sends a get /_vti_inf.html request to retrieve the version of frontpage server extension running on the host.",,TRUE
QUALYS105377,QUALYS,EOL/Obsolete Software: Microsoft Office FrontPage 2003 Detected,"microsoft office frontpage 2003 was detected on the host.the mainstream support for microsoft office frontpage 2003 ended on 4.14.2009. no further bug fixes, enhancements, security updates or technical support is available for this release.note:  extended support for frontpage 2003 will end on 4.8.2014.",,TRUE
QUALYS105378,QUALYS,EOL/Obsolete Software: Microsoft Windows Media Player 8 Detected,"windows media player is a proprietary digital media player and media library application developed by microsoft.microsoft media player 8 was detected on the host.technical support for microsoft media player 8 has ended. no further bug fixes, enhancements, security updates or technical support is available for this release.",,TRUE
QUALYS105379,QUALYS,EOL/Obsolete Software: Microsoft Windows Media Player 7 Detected,"windows media player is a proprietary digital media player and media library application developed by microsoft.microsoft media player 7 was detected on the host.technical support for microsoft media player 7 has ended. no further bug fixes, enhancements, security updates or technical support is available for this release.",,TRUE
QUALYS105381,QUALYS,EOL/Obsolete Software: Microsoft Outlook 2003 Service Pack 2 (SP2) Detected,"microsoft outlook 2003 service pack 2 was detected on the host.the mainstream support for microsoft outlook 2003 ended on 4.14.2009. no further bug fixes, enhancements, or technical support is available for this release.note: extended support for outlook 2003 will end on 4.8.2014.",,TRUE
QUALYS105382,QUALYS,EOL/Obsolete Software: Microsoft Outlook 2002 Detected,"microsoft outlook 2002 was detected on the host.the mainstream support for microsoft outlook 2002 ended on 7.11.2006. no further bug fixes, enhancements, security updates or technical support is available for this release.note: extended support for outlook 2002 will end on 7.12.2011.",,TRUE
QUALYS105383,QUALYS,EOL/Obsolete Software: Microsoft Outlook 2000 Detected,"microsoft outlook 2000 was detected on the host.the mainstream support for microsoft outlook 2000 ended on 6.30.2004. no further bug fixes, enhancements, security updates or technical support is available for this release.",,TRUE
QUALYS105386,QUALYS,EOL/Obsolete Software: Microsoft SharePoint Server 2003 Detected,"microsoft sharepoint server 2003 was detected on the host.the mainstream support for microsoft sharepoint server 2003 ended on 4.14.2009. no further bug fixes, enhancements, security updates or technical support is available for this release.note: extended support for sharepoint server 2003 will end on 4.8.2014.",,TRUE
QUALYS105387,QUALYS,EOL/Obsolete Software: Microsoft SharePoint Server 2001 Detected,"microsoft sharepoint server 2001 was detected on the host.the mainstream support for microsoft sharepoint server 2001 ended on 7.11.2006. no further bug fixes, enhancements, security updates or technical support is available for this release.note: extended support for sharepoint server 2001 will end on 7.12.2011.",,TRUE
QUALYS105388,QUALYS,EOL/Obsolete Software: Microsoft Windows SharePoint Services 2.0 Detected,"microsoft windows sharepoint services 2.0 was detected on the host.the mainstream support for windows sharepoint services 2.0 ended on 7.8.2008. no further bug fixes, enhancements, security updates or technical support is available for this release.",,TRUE
QUALYS105392,QUALYS,EOL/Obsolete Software: IBM Lotus Notes 6.0.x or 6.5.x Detected,"ibm lotus notes software is an integrated desktop client for accessing e-mail, calendars and applications on an ibm lotus domino server.support for lotus notes 6.0.x ended on 30-apr-2007 and support for lotus notes 6.5.x ended on 30-apr-2010. no further bug fixes, enhancements, security updates or technical support is available for this version.",,TRUE
QUALYS105393,QUALYS,EOL/Obsolete Software: HP Systems Insight Manager 5.x Detected,"hp systems insight manager is used for managing hp servers and storage.support for hp systems insight manager 5.x has ended. no further bug fixes, enhancements, security updates or technical support is available for this version.",,TRUE
QUALYS105394,QUALYS,EOL/Obsolete Software: Compaq Insight Manager (CIM) Detected,"compaq insight manager (cim) is used for managing hp servers and storage.support for compaq insight manager ended in may 2005. no further bug fixes, enhancements, security updates or technical support is available for this version.hp systems insight manager is the next generation of insight manager 7.",,TRUE
QUALYS105395,QUALYS,EOL/Obsolete Software: IBM Lotus Notes 5.0.x Detected,"ibm lotus notes software is an integrated desktop client for accessing e-mail, calendars and applications on an ibm lotus domino server.support for lotus notes 5.0.x ended on 30-sep-2005. no further bug fixes, enhancements, security updates or technical support is available for this version.",,TRUE
QUALYS105396,QUALYS,EOL/Obsolete Software: Oracle WebLogic Server 10.2 and Prior Detected,"oracle weblogic server is an application server for building and deploying enterprise applications and services.no further bug fixes, enhancements, security updates or technical support is available for this version.",,TRUE
QUALYS105397,QUALYS,EOL/Obsolete Software: Netscape Enterprise (iPlanet) Web Server 4.x and Prior Detected,"netscape enterprise server was a web server developed originally by netscape communications corporation. the product has since been renamed sun java system web server.from 2010, oracle renamed the product from sun java system web server to oracle iplanet web server. oracle iplanet web server builds on the earlier sun one web server, iplanet web server, and netscape enterprise server products.netscape enterprise server (iplanet) 4.x web server reached product end of service life (eosl) on 3/15/04.no further bug fixes, enhancements, security updates or technical support is available for this version.",,TRUE
QUALYS105398,QUALYS,EOL/Obsolete Software: IBM Tivoli Storage Manager Prior to 5.6 Detected,"ibm tivoli storage manager is an application for automated backup and recovery of data.ibm tivoli storage manager 5.x prior to 5.6 has reached product end of life in its support cycle.no further bug fixes, enhancements, security updates or technical support is available for this version.qid detection logic(authenticated)it checks for vulnerable version of ibm tivoli storage manager.",,TRUE
QUALYS105399,QUALYS,EOL/Obsolete Software: IBM DB2 7.1.x Detected,"ibm db2 is a relational database server developed by ibm.no further bug fixes, enhancements, security updates or technical support is available for this version.",,TRUE
QUALYS105400,QUALYS,EOL/Obsolete Software: IBM DB2 8.x Detected,"ibm db2 is a relational database server developed by ibm.no further bug fixes, enhancements, security updates or technical support is available for this version.",,TRUE
QUALYS105401,QUALYS,EOL/Obsolete Software: IBM DB2 7.2.x Detected,"ibm db2 is a relational database server developed by ibm.no further bug fixes, enhancements, security updates or technical support is available for this version.",,TRUE
QUALYS105402,QUALYS,EOL/Obsolete Operating System: VMware ESX 2.x Detected,"vmware esx 2.x has been detected on the host. support for vmware esx 2.x ended on june 15, 2010.",,TRUE
QUALYS105403,QUALYS,EOL/Obsolete Operating System: Fedora Core 13 Detected,"the host is running fedora core 13. support for fedora core 13 ended on june 24, 2011. no further updates, including security updates, are available for fedora core 13.",,TRUE
QUALYS105404,QUALYS,EOL/Obsolete Operating System: Fedora Core 12 Detected,"the host is running fedora core 12. support for fedora core 12 ended on december 2, 2010. no further updates, including security updates, are available for fedora core 12.",,TRUE
QUALYS105405,QUALYS,EOL/Obsolete Operating System: Microsoft Windows Vista Service Pack 1 (SP1) Detected,"the host is running windows vista with no service pack 1 installed. microsoft ended support for windows vista sp1 on july 12, 2011 and provides no further support for that specific service pack level.",,TRUE
QUALYS105406,QUALYS,EOL/Obsolete Software: Microsoft .NET Framework 2.0 Service Pack 0 (SP0) Detected,".net framework 2.0 service pack 0 was detected on the target host. microsoft ended support for .net framework 2.0 sp0 on january 13, 2009 and provides no further support for this version.",,TRUE
QUALYS105407,QUALYS,EOL/Obsolete Software: Microsoft .NET Framework 2.0 Service Pack 1 (SP1) Detected,".net framework 2.0 service pack 1 was detected on the target host. microsoft ended support for .net framework 2.0 sp1 on january 12, 2010 and provides no further support for the specific version.",,TRUE
QUALYS105408,QUALYS,EOL/Obsolete Operating System: HP-UX 11.00 Detected,"the host is running hp-ux version 11.00. support for hp-ux 11.00 ended in december 2006. no further bug fixes, enhancements, security errata updates or technical support services are available for hp-ux 11.00.",,TRUE
QUALYS105409,QUALYS,EOL/Obsolete Software: Microsoft .NET Framework 3.0 Detected,".net framework 3.0 was detected on the target host. microsoft ended support for .net framework 3.0 rtm, .net framework 3.0 sp1 and .net framework 3.0 sp 2 on july 12, 2011 and provides no further support for this specific version.note:please note that .net framework 3.5 requires .net 3.0 to work and this qid will only be posted if .net 3.5 is not detected on the host. if .net framework 3.5 is installed on the host then .net framework 3.0 is automatically installed.",,TRUE
QUALYS105410,QUALYS,EOL/Obsolete Software: Microsoft .NET Framework 3.5 Service Pack 0 (SP0) Detected,".net framework 3.5 without any service packs was detected on the target host. microsoft ended support for .net framework 3.5 rtm on july 12, 2011 and provides no further support for this specific version.",,TRUE
QUALYS105411,QUALYS,EOL/Obsolete Software: VMware Fusion 1.x Detected,"vmware fusion is a product that allows users to seamlessly run windows applications on any intel-based mac.vmware fusion 1.x has been detected on the host. support for vmware fusion 1.x ended on march 12, 2010.",,TRUE
QUALYS105412,QUALYS,EOL/Obsolete Software: Oracle/Sun Java Development Kit (JDK) Java Runtime Environment (JRE) 4 (1.4.x) Detected,"oracle/sun java runtime environment 1.4.x was detected on the target host. support for j2se 1.4.2 ended on october 30th, 2008 and no further support for this specific version is available.note: the final publicly available update of version 1.4 was j2se 1.4.2 update 19.",,TRUE
QUALYS105413,QUALYS,EOL/Obsolete Software: Oracle/Sun Java Development Kit (JDK) Java Runtime Environment (JRE) 5 (1.5.x) Detected,oracle/sun java runtime environment 1.5.x was detected on the target host. support for j2se 1.5 ended on october 2009 and no further support is available without a support contract.,,TRUE
QUALYS105414,QUALYS,EOL/Obsolete Software: Microsoft Exchange 2000 Server Detected,"microsoft exchange 2000 server was detected on the target host.support for microsoft exchange 2000 server ended on january 11th, 2011 and no further support for this specific version is available.",,TRUE
QUALYS105415,QUALYS,EOL/Obsolete Software: Oracle/Sun Java Development Kit (JDK) Java Runtime Environment (JRE) 3 (1.3.x) Detected,"oracle/sun java runtime environment 1.3.x was detected on the target host. support for j2se 1.3.x ended on december 11th, 2006 and no further support for this specific version is available.",,TRUE
QUALYS105416,QUALYS,EOL/Obsolete Software: Adobe Reader 8.x Detected,"adobe reader 8.x installed. adobe ended support for adobe reader 8.x on november 3, 2011 and provides no further updates.",,TRUE
QUALYS105417,QUALYS,EOL/Obsolete Software: Adobe Acrobat 8.x Detected,"adobe acrobat 8.x installed. adobe ended support for adobe acrobat 8.x on november 3, 2011 and provides no further updates.",,TRUE
QUALYS105418,QUALYS,EOL/Obsolete Software: Microsoft SQL Server 7 Detected,"microsoft sql server 7 is detected on the host.technical support for microsoft sql server 7 has ended. no further bug fixes, enhancements, security updates or technical support is available for this release.",,TRUE
QUALYS105419,QUALYS,EOL/Obsolete Operating System: VMware ESX 3.0.x Detected,"vmware esx 3.0.x has been detected on the host. support for vmware esx 3.0.x ended on december 10, 2011.",,TRUE
QUALYS105422,QUALYS,EOL/Obsolete Software: Microsoft SQL Server 2005 Service Pack 3 (SP3) Detected,"microsoft sql server 2005 service pack 3 was detected on the host.technical support for sql server 2005 sp3 ended on 1/12/2012. no further bug fixes, enhancements, security updates or technical support is available for this release.",,TRUE
